Watts The Psalms of David,,,,,,,,,,,
,,,,,,,,,,,
Psalm,Avg,Max,Min,Bible Verses,Verses Amortized,Tentative,Locked,,,,
1,6.3,7,6,6,3.6,6,*,,6-7,6,6
2,8.7,10,6,12,7.2,6,*,,6-10,6,8-10
3,6,8,4,8,4.8,4,*,,6-8,4,
4,5,6,4,8,4.8,6,,,6,4,
5,8,8,8,12,7.2,8,*,,8,,
6,6,6,6,10,6,6,,,6,6,
7,9,9,9,17,10.2,9,,,6-9,,
8,8.3,9,8,9,5.4,10,,,7-8,7-9,10
9,13,13,13,20,12,12,,,11-13,,
10,8,8,8,18,10.8,8,*,,8,,
11,6,6,6,7,4.2,6,*,,6,,
12,7.5,8,7,8,4.8,8,,,7,8,
13,6.5,7,6,6,3.6,6,,,6,7,
14,10,10,10,7,4.2,10,*,,10,,
15,6,7,5,5,3,3,,,5,3-7,
16,14,16,12,11,6.6,9,,,12,9-12,
17,5.5,6,5,15,9,6,,,5,6,
18,16.5,19,14,50,30.1,19,,,15-19,12-14,
19,10,16,6,14,8.4,8,,,14-16,6,8
20,7,7,7,9,5.4,6,,,6-7,,
21,5.5,6,5,13,7.8,6,,,6,5,
22,12,18,6,31,18.6,18,,,18,6,
23,6.7,8,6,6,3.6,6,,,6-8,6,6
24,6,7,5,10,6,5,,,5,7,
25,18,18,18,22,13.2,18,*,,18,,
26,5,5,5,12,7.2,5,*,,5,,
27,10,10,10,14,8.4,10,*,,10,,
,,0,0,,0,0,*,,,,
29,6,6,6,11,6.6,6,*,,6,,
30,9,9,9,12,7.2,9,*,,9,,
31,14,14,14,24,14.4,14,,,13-14,,
32,6,10,4,11,6.6,4,,,4,10,4
33,10,12,8,22,13.2,12,,,12,8,
34,12.5,14,11,22,13.2,14,,,11,10-14,
35,14,14,14,28,16.8,14,*,,14,,
36,7,8,6,12,7.2,8,,,6,6-8,6-7
37,23,23,23,40,24.1,23,*,,23,,
38,10,10,10,22,13.2,10,,,7-10,,
39,17,17,17,13,7.8,16,,,16-17,,
40,10.5,14,7,17,10.2,7,,,14,7,
41,4,4,4,13,7.8,4,*,,4,,
,373.5,413,338,607,365,365,,,,,
,,,,,,,,,,,
"For Psalm 8, the final one (8:3 first part, 8:4 second part, especially 8:3) looks really cool",,,,,,,,,,,
